source,target,distance,duration,pm
34,84,1238,964,68.175690578
34,135,1617,1257,83.2225262497
34,38,1236,947,80.2301821824
35,60,370,262,81.6161554528
35,34,421,309,85.3564679043
35,114,574,450,73.96164514670001
35,291,410,300,82.4871563716
35,334,707,504,65.7226614057
35,127,813,631,85.4892212167
35,318,1128,841,74.25131940680001
35,345,1164,907,60.9452905171
35,110,942,712,55.635152385699996
35,262,1169,875,76.4636465651
35,24,931,719,85.7473585269
35,52,894,664,64.7828728511
35,209,1118,895,81.20876843479999
35,290,1263,955,80.1331186482
35,271,1112,817,74.14765543899999
35,270,1513,1154,64.8311243828
35,53,1292,956,62.7583762459
35,135,1565,1212,83.2225262497
35,46,1377,1046,71.6928034532
36,193,241,194,71.9249263424
36,206,485,346,73.06063161659999
36,141,392,275,74.4357256836
36,239,484,358,72.6806896267
36,173,558,391,57.1141433037
36,158,663,508,93.2356838171
36,79,693,514,74.1478617835
36,175,1020,716,73.6499238726
36,88,756,556,67.0772180219
36,50,1164,900,80.4023501608
36,243,879,651,82.86850557140001
36,144,1134,823,74.8199191123
36,107,1122,860,60.8355051621
36,286,1001,792,65.5125120438
36,324,1237,954,64.1335131941
36,51,1284,982,68.5836527335
36,154,1175,872,88.2140044831
36,333,1305,931,72.3674245333
36,71,1345,1040,72.3600032368
37,321,683,490,49.5888810612
37,164,1081,781,65.5982412424
37,229,902,724,73.3096244056
37,19,1250,935,60.586137147799995
37,44,2140,1553,91.3705713807
37,347,4128,3028,80.5187830018
37,341,3421,2521,65.7374033112
37,33,4101,3076,85.8128491799
37,83,2345,1775,76.31658127680001
37,30,3846,2817,80.85567106149999
37,192,3239,2420,80.5927926709
37,313,3766,2838,67.72113476770001
37,199,3371,2529,72.6879923273
37,265,3189,2396,55.601103425699996
37,9,2554,1963,71.54948504069999
37,287,3576,2631,76.2765884656
37,274,3582,2670,69.9193069262
37,217,2952,2254,60.296474374700004
37,14,3588,2720,76.777572239
38,261,447,367,72.49729137770001
38,46,511,379,71.6928034532
38,290,614,449,80.1331186482
38,99,979,752,70.08880067359999
38,20,787,596,69.1429609991
38,25,691,514,64.5694833772
38,201,650,506,81.6700883909
38,110,767,552,55.635152385699996
38,155,1027,844,58.641771159399994
38,84,1051,810,68.175690578
38,204,1038,813,74.58484241859999
38,157,1083,825,62.1486378799
38,24,1274,950,85.7473585269
38,148,1169,867,83.6651037068
38,112,1538,1146,79.8724751456
38,270,1315,960,64.8311243828
38,34,1236,886,85.3564679043
38,60,1313,936,81.6161554528
38,151,1434,1128,67.51764459479999
39,247,358,260,84.185027625
39,81,385,296,69.18588285770001
39,145,1000,765,73.0198705199
39,314,741,548,88.7480163458
39,197,848,653,69.5661934046
39,218,922,675,70.8090481686
39,279,1308,960,77.58341363310001
39,143,1395,1038,77.0316701149
39,190,1156,840,76.2721221332
39,225,1765,1330,72.3210036551
