,Unnamed: 0,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry,x,y,z
40,69,50.827577000000005,4.363797,LESBROUSSART - AVENUE LOUISE/LOUIZALAAN 192,"50.827577, 4.363797",75.8165504817,4.363797,50.827577000000005,5250429.5501,10121725.399,POINT (4.363797 50.827577),-1841.3485730745263,-1159.8124563934261,-5987.813582471574
41,60,50.856714000000004,4.362106,ST-LAZARE/SINT-LAZARUS   -   BLD SAINT-LAZARE/SINT-LAZARUSLAAN 4 -10,"50.856714, 4.362106",67.5753996258,4.362106,50.856714000000004,5246262.1662,10121444.3029,POINT (4.362106 50.856714),-1815.1824035623038,-1218.6059480047275,-5984.125114441148
42,310,50.88058,4.401674,SAINT VINCENT / SINT-VINCENTIUS - RUE STROOBANTS/STROOBANTSSTRAAT,"50.88058, 4.401674",63.0527347267,4.401674,50.88058,5242734.89908,10124922.0793,POINT (4.401674 50.88058),-1590.8556695345198,-1123.993121468852,-6065.926038256696
43,261,50.868790000000004,4.399587,CONSCIENCE - AVENUE HENRI CONSCIENCE / HENRI CONSCIENCELAAN 83,"50.86879, 4.399587",68.7891225744,4.399587,50.868790000000004,5244428.21036,10124786.1842,POINT (4.399587 50.86879),-1614.4178829148123,-1112.3394969916073,-6061.847634406305
44,277,50.881588,4.373817,VAN PRAET - AVENUE VAN PRAET / VAN PRAETLAAN,"50.881588, 4.373817",91.3705713807,4.373817,50.881588,5242669.2571,10122395.597000001,POINT (4.373817 50.881588),-1726.9965441081772,-1222.792904849993,-6009.3178854581265
45,326,50.809406,4.443777,ADEPS - CHEE DE WAVRE / WAVERSESTEENWEG 2057,"50.809406, 4.443777",77.1143133982,4.443777,50.809406,5252803.166,10129064.3603,POINT (4.443777 50.809406),-1446.810472532976,-874.9956098571472,-6142.537190713592
46,97,50.858058,4.318689,KARREVELD - CHAUSSEE DE GAND/ GENTSESTEENWEG 1-3,"50.858058, 4.318689",71.6928034532,4.318689,50.858058,5246188.239580001,10117504.3406,POINT (4.318689 50.85805800000001),-2027.28220890581,-1364.9534366919577,-5883.593286514355
47,26,50.839413,4.328914,VAN LINT - RUE VAN LINT/ VAN LINTSTRAAT 6 - 8,"50.839413, 4.328914",77.6106889508,4.328914,50.839413,5248830.27089,10118510.5746,POINT (4.328914 50.839413),-2001.7509634515511,-1294.187958437241,-5908.2748419954905
48,243,50.811752,4.3534239999999995,RONDPOINT CHURCHILL/ROTONDE CHURCHILL - AV MESSIDOR FACE 338/MESSIDORLAAN TEGENOVER 338,"50.811752, 4.353424",85.5014569162,4.3534239999999995,50.811752,5252724.96971,10120853.4509,POINT (4.353424 50.811752),-1912.4426834715603,-1162.7348837980737,-5964.918404507741
49,320,50.887001,4.310701,UZ BRUSSEL - AVENUE DE L'ARBRE BALLON / DIKKE-BEUKLAAN,"50.887001, 4.310701",62.1752820128,4.310701,50.887001,5242066.866090001,10116658.5469,POINT (4.310701 50.887001),-2025.0782791016468,-1450.3691407185147,-5863.8833821250355
50,177,50.849409,4.389263,CHASSEURS ARDENNAIS/ARDENSE JAGERSPLEIN - RUE DU NOYER 81-87 /NOTELAARSSTRAAT 81-87,"50.849409, 4.389263",80.4023501608,4.389263,50.849409,5247231.91058,10123937.7166,POINT (4.389263 50.849409),-1687.796358074765,-1115.287303571741,-6041.284522695586
51,184,50.831592,4.385786,PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38,"50.831592, 4.385786",68.5836527335,4.385786,50.831592,5249792.92547,10123702.0318,POINT (4.385786 50.831592),-1725.116694858529,-1096.3002077791875,-6034.214053507191
52,52,50.859212,4.34551,SAINCTELETTE - PLACE SAINCTELETTE/SAINCTELETTEPLEIN,"50.859212, 4.34551",64.7828728511,4.34551,50.859212,5245950.29791,10119929.652999999,POINT (4.34551 50.859212),-1894.1955230299452,-1278.526491727608,-5947.018944856659
53,47,50.854714,4.347151,LES QUAIS/KAAIEN - QUAI A LA CHAUX/KALKKAAI 1-2,"50.854714, 4.347151",62.7583762459,4.347151,50.854714,5246589.73859,10120097.8302,POINT (4.347151 50.854714),-1891.811231301621,-1264.568461539304,-5950.761116966565
54,143,50.857217999999996,4.407879,RTL  - CHAUSSEE DE LOUVAIN (DVT 770)/ LEUVENSE STEENWEG (N° 770),"50.857218, 4.407879",57.4199192507,4.407879,50.857217999999996,5246060.94992,10125589.5953,POINT (4.407879 50.857218),-1585.4075305609372,-1065.5082747477409,-6077.895694932973
55,167,50.869032000000004,4.309731,CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131,"50.869032, 4.309731",71.0529137571,4.309731,50.869032000000004,5244641.2472,10116646.3996,POINT (4.309731 50.869032),-2055.493721466142,-1416.975967501039,-5861.464464495009
56,137,50.866609999999994,4.373101999999999,MAISON COMMUNALE DE SCHAERBEEK / SCHAARBEEK GEMEENTEHUIS - RUE ROYALE SAINTE MARIE/KONINKLIJKE SINTE-MARIASTRAAT 241-243-245,"50.86661, 4.373102",45.552062742,4.373101999999999,50.866609999999994,5244814.955709999,10122396.9863,POINT (4.373102 50.86661),-1748.6601417230036,-1199.2195281927059,-6007.803361624825
57,226,50.819939,4.325277,UNION/UNIE - BD DE LA DEUXIEME ARMEE BRITANNIQUE / BRITS TWEEDELEGERLAAN 8 - 2,"50.819939, 4.325277",79.7970072921,4.325277,50.819939,5251629.14008,10118263.8782,POINT (4.325277 50.819939),-2044.82853416676,-1266.2678441691821,-5899.566341069532
58,146,50.859243,4.401022,LEOPOLD III -  BOULEVARD LEOPOLD III / LEOPOLD III-LAAN,"50.859243, 4.401022",71.9299716552,4.401022,50.859243,5245790.67483,10124959.168,POINT (4.401022 50.859243),-1617.7520878999246,-1092.0082704172178,-6064.654740332366
59,76,50.825749,4.345165,PLACE VAN MEENEN/VAN MEENENPLEIN - AV PAUL DEJAER (FACE 35 - 39) / PAUL DEJAERLAAN (TEGENOVER 35 - 39),"50.825749, 4.345165",86.9113598225,4.345165,50.825749,5250742.81425,10120043.2408,POINT (4.345165 50.825749),-1937.6483616863381,-1215.5273304689674,-5946.23016165177
60,85,50.8572655241,4.33236837869,ETANGS NOIRS /ZWARTE VIJVERS - CHEE DE GAND/STEENWEG OP GENT,"50.8572655241, 4.33236837869",81.6161554528,4.33236837869,50.8572655241,5246264.77664,10118747.2615,POINT (4.33236837869 50.8572655241),-1961.3781735297207,-1318.3229989958047,-5916.473707430797
61,350,50.848184,4.425621,VERHEYLEWEGHEN - PLACE VERHEYLEWEGHEN DVT LES N°32-34,"50.848184, 4.425621",72.3877267642,4.425621,50.848184,5247303.07189,10127238.5803,POINT (4.425621 50.848184),-1504.6830497184233,-991.6410093498147,-6110.8279331417725
62,21,50.851919,4.352776,FERMÉE - TRAVAUX DE VOIRIE - DE BROUCKERE - PLACE DE BROUCKERE/DE BROUCKEREPLEIN,"50.851919, 4.352776",92.94150523489999,4.352776,50.851919,5246974.43008,10120619.7381,POINT (4.352776 50.851919),-1867.4281791768349,-1240.7322346926483,-5963.466820349626
63,34,50.84563,4.346941999999999,FERMÉE - TRAVAUX - FONTAINAS - BLD ANSPACH N°180 A 192/ANSPACHLAAN N°180 TOT 192,"50.84563, 4.346942",77.0884917602,4.346941999999999,50.84563,5247890.90962,10120118.2545,POINT (4.346942 50.84563),-1904.2605325564903,-1248.0130181042377,-5950.285399103981
64,260,50.867020000000004,4.406994999999999,TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD,"50.86702, 4.406995",76.4300580715,4.406994999999999,50.867020000000004,5244660.40051,10125465.1449,POINT (4.406995 50.86702),-1579.3165508188517,-1084.0371409132063,-6076.204712600652
65,139,50.863872,4.366741,LIEDTS - PLACE LIEDTS (FACE AU 38)/ LIEDTSPLEIN (TEGENOVER 38),"50.863872, 4.366741",79.7640361795,4.366741,50.863872,5245224.61074,10121832.8322,POINT (4.366741 50.863872),-1783.4768258406234,-1215.9302468512767,-5994.194278339804
66,29,50.856584000000005,4.352876999999999,BAUDOUIN/BOUDEWIJN - RUE DE LAEKEN / LAKENSESTRAAT,"50.856584, 4.352877",62.377271960600005,4.352876999999999,50.856584000000005,5246306.2841300005,10120608.5899,POINT (4.352877 50.85658400000001),-1861.1197405701723,-1249.094595665187,-5963.693235096859
