,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry
34,50.84563,4.346942,FERMÉE - TRAVAUX - FONTAINAS - BLD ANSPACH N°180 A 192/ANSPACHLAAN N°180 TOT 192,"50.84563, 4.346942",77.0884917602,4.346942,50.84563,5247890.90962,10120118.2545,POINT (4.346942 50.84563)
260,50.86702,4.406995,TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD,"50.86702, 4.406995",76.4300580715,4.406995,50.86702,5244660.40051,10125465.1449,POINT (4.406995 50.86702)
139,50.863872,4.366741,LIEDTS - PLACE LIEDTS (FACE AU 38)/ LIEDTSPLEIN (TEGENOVER 38),"50.863872, 4.366741",79.7640361795,4.366741,50.863872,5245224.61074,10121832.8322,POINT (4.366741 50.863872)
29,50.856584,4.352877,BAUDOUIN/BOUDEWIJN - RUE DE LAEKEN / LAKENSESTRAAT,"50.856584, 4.352877",62.3772719606,4.352877,50.856584,5246306.28413,10120608.5899,POINT (4.352877 50.85658400000001)
73,50.823898,4.367752,VLEURGAT - AVENUE LOUISE/LOUIZALAAN 300,"50.823898, 4.367752",71.3257727816,4.367752,50.823898,5250945.44471,10122100.3455,POINT (4.367752 50.823898)
220,50.825706,4.288377,LUTHER KING - BD MAURICE CAREME 30 / MAURICE CAREMELAAN 30,"50.825706, 4.288377",64.209227948,4.288377,50.825706,5250901.45279,10114891.7679,POINT (4.288377 50.825706)
223,50.824055,4.326376,FERMÉE - EN RÉPARATION - WIELS - AV.WIELEMANS CEUPPENS/LAAN 7,"50.824055, 4.326376",89.8197887679,4.326376,50.824055,5251036.619,10118346.0183,POINT (4.326376 50.824055)
349,50.833444,4.334857,FONSNY - AVENUE FONSNY EN FACE DES DEBOUCHES DES RUES COENRAETS ET J. CLAES,"50.833444, 4.334857",70.4835110445,4.334857,50.833444,5249668.92362,10119075.0823,POINT (4.334857 50.833444)
152,50.852389,4.387373,PLACE DAILLY / DAILLYPLEIN - PLACE DAILLY / DAILLYPLEIN 24 - 25,"50.852389, 4.387373",72.3600032368,4.387373,50.852389,5246810.61528,10123753.116,POINT (4.387373 50.852389)
237,50.827972,4.330705,PARVIS ST ANTOINE / ST ANTONIUS VOORPLEIN - RUE DE MERODE/MERODESTRAAT 290,"50.827972, 4.330705",58.2540208372,4.330705,50.827972,5250463.87861,10118721.9719,POINT (4.330705 50.827972)
191,50.853973,4.38374,ARTAN - RUE CLAYS,"50.853973, 4.38374",80.0827003231,4.38374,50.853973,5246594.09471,10123416.8221,POINT (4.38374 50.853973)
216,50.828873,4.303918,ARISTIDE BRIAND - CH DE MONS 718 a 720 / BERGENSESTEENWEG 718 tot 720,"50.828873, 4.303918",75.3109547828,4.303918,50.828873,5250406.78058,10116288.3395,POINT (4.303918 50.828873)
23,50.846331,4.355193,AGORA - PLACE AGORA/AGORAPLEIN 120,"50.846331, 4.355193",73.7024580651,4.355193,50.846331,5247767.83052,10120863.1544,POINT (4.355193 50.846331)
321,50.884251,4.330287,FERMÉE - SACRE-CŒUR DE JETTE/HEILIGE HART VAN JETTE - AVENUE DU SACREE CŒUR FACE 71 A 79/HEILIGE HARTLAAN VOOR 71 TOT 79,"50.884251, 4.330287",93.6568443297,4.330287,50.884251,5242407.82957,10118443.2311,POINT (4.330287 50.884251)
246,50.796471,4.328415,GATTI DE GAMMOND - RUE DE STALLE PROLONGEE/STALLE STRAAT 160,"50.796471, 4.328415",62.7285828051,4.328415,50.796471,5254982.69057,10118649.0203,POINT (4.328415 50.796471)
230,50.818382,4.346061,BERKENDAEL / BERKENDAAL - AVENUE ALBERT / ALBERTLAAN 134,"50.818382, 4.346061",68.670324345,4.346061,50.818382,5251795.53637,10120156.4493,POINT (4.346061 50.818382)
189,50.836924,4.389073,PLACE VAN MEYEL/VAN MEYELPLEIN,"50.836924, 4.389073",74.1478617835,4.389073,50.836924,5249020.08432,10123976.2995,POINT (4.389073 50.836924)
55,50.853248,4.366188,BOTANIQUE/KRUIDTUIN - AVENUE GALILEE/GALILEELAAN,"50.853248, 4.366188",81.1898640724,4.366188,50.853248,5246747.02989,10121829.4196,POINT (4.366188 50.85324800000001)
311,50.818456,4.40349,DELTA - BD DES INVALIDES / INVALIDENLAAN,"50.818456, 4.40349",69.1858828577,4.40349,50.818456,5251623.89157,10125366.9902,POINT (4.40349 50.818456)
133,50.866795,4.3092224,CHATEAU-KASTEEL - AVENUE DU CHÂTEAU/KASTEELLAAN,"50.866795, 4.3092224",73.579720196,4.3092224,50.866795,5244962.81614,10116609.7491,POINT (4.3092224 50.866795)
282,50.890522,4.345112,CENTENAIRE / EEUWFEEST - BOULEVARD DU CENTENAIRE / EEUWFEESTLAAN,"50.890522, 4.345112",76.3165812768,4.345112,50.890522,5241470.12329,10119758.1913,POINT (4.345112 50.890522)
134,50.862652,4.316644,BASTOGNE/BASTENAKEN - PLACE DE BASTOGNE/BASTENAKENPLEIN,"50.862652, 4.316644",68.175690578,4.316644,50.862652,5245536.05602,10117299.5819,POINT (4.316644 50.862652)
33,50.848701,4.356055,MORT SUBITE - RUE MONTAGNE AUX-HERBES-POTAGERES (FACE N° 7)/WARMOESBERG (TEGENOVER N°7),"50.848701, 4.356055",74.5192949252,4.356055,50.848701,5247426.11686,10120930.9525,POINT (4.356055 50.84870100000001)
252,50.802563,4.315701,BEMPT - CH DE NEERSTALLE DEVANT 333-335-337 / NEERSTALLESESTEENWEG 333-335-337,"50.802563, 4.315701",67.8222755921,4.315701,50.802563,5254144.15473,10117468.6253,POINT (4.315701000000001 50.802563)
238,50.820278,4.330802,UNION SAINT-GILLOISE / SINT-GILLIS UNIE - CH DE BRUXELLES 366-362 / BRUSSELSESTEENWEG 366-362,"50.820278, 4.330802",95.7730669553,4.330802,50.820278,5251565.61671,10118763.7364,POINT (4.330802 50.82027800000001)
79,50.84413,4.374871,LOI/WET - RUE D'ARLON/STRAAT 120,"50.84413, 4.374871",67.0772180219,4.374871,50.84413,5248028.2552,10122656.6416,POINT (4.374871 50.84413)
236,50.812328,4.318885,MAISON COMMUNALE DE FOREST / VORST GEMEENTEHUIS - RUE SAINT DENIS 4 / SINT DENIJSSTRAAT 4,"50.812328, 4.318885",61.3296155598,4.318885,50.812328,5252736.62391,10117716.2224,POINT (4.318885 50.812328)
318,50.880539,4.32823,CARDINAL MERCIER / KARDINAAL MERCIER - PLACE CARDINAL MERCIER / KARDINAAL MERCIER PLEIN 6,"50.880539, 4.32823",73.878624965,4.32823,50.880539,5242944.62429,10118272.8626,POINT (4.32823 50.880539)
329,50.847617,4.436084,FERMÉE-TRAVAUX DE VOIRIE - AV PAUL HYMANS FACE À L'ARRÊT METRO ROODEBEEK,"50.847617, 4.436084",67.9098923457,4.436084,50.847617,5247353.75576,10128189.5152,POINT (4.436084 50.84761700000001)
308,50.872265,4.352158,TIVOLI - RUE DE MOLENBEEK CROISEMENT RUE DE WAUTIER/ KRUISPUNT MOLENBEEKSTRAAT-DE WAUTIERSTRAAT,"50.872265, 4.352158",77.1766881104,4.352158,50.872265,5244063.5997,10120475.2505,POINT (4.352158 50.872265)
328,50.849988,4.417064,HEYDENBERG - AV HEYDENBERG FACE 99-101,"50.849988, 4.417064",58.747159598,4.417064,50.849988,5247069.57018,10126454.784,POINT (4.417064 50.849988)
346,50.81591,4.2737,RECHERCHE - ROUTE DE LENNIK N°788,"50.81591, 4.2737",84.4929743875,4.2737,50.81591,5252342.99934,10113600.4414,POINT (4.2737 50.81591)
335,50.854231,4.444034,THIRY - BD DE LA WOLUWE DVT 100,"50.854231, 4.444034",64.9384285121,4.444034,50.854231,5246383.58166,10128879.348,POINT (4.444034 50.854231)
110,50.826992,4.382379,RODIN - AVENUE DE LA COURONNE (DEVANT 145 D) / KROONLAAN (N° 145 D),"50.826992, 4.382379",83.7300167686,4.382379,50.826992,5250461.30988,10123413.5112,POINT (4.382379 50.826992)
5,50.848893,4.349396,BOURSE / BEURS - RUE PAUL DEVAUX/PAUL DEVAUXSTRAAT,"50.848893, 4.349396",56.8320623285,4.349396,50.848893,5247416.97367,10120326.5446,POINT (4.349396 50.848893)
234,50.809799,4.317546,ST DENIS / ST DENIJS - PLACE ST DENIS FACE 68 / ST DENIJSPLAATS VOOR 68,"50.809799, 4.317546",70.6516892842,4.317546,50.809799,5253102.5212,10117605.4262,POINT (4.317546 50.809799)
197,50.848255,4.314854,DE SMET - PLACE HENRI DE SMET / HENRI DE SMETPLEIN,"50.848255, 4.314854",70.0888006736,4.314854,50.848255,5247602.04457,10117198.3036,POINT (4.314854 50.848255)
22,50.855969,4.355657,JACQMAIN - BLD. D'ANVERS / ANTWERPSELAAN 4,"50.855969, 4.355657",54.5192404776,4.355657,50.855969,5246386.66313,10120863.1812,POINT (4.355657 50.855969)
151,50.853518,4.392491,LOUVAIN / LEUVEN - CHAUSSEE DE LOUVAIN - LEUVENSESTEENWEG  488-494,"50.853518, 4.392491",82.2326195463,4.392491,50.853518,5246634.49866,10124211.879,POINT (4.392491 50.853518)
291,50.804661,4.327886,DECROLY - RUE GATTI DE GAMMOND / GATTI DE GAMMOND STRAAT,"50.804661, 4.327886",94.9372855704,4.327886,50.804661,5253810.69438,10118565.9445,POINT (4.327886 50.804661)
219,50.829491,4.286006,VAN HELLEMONT - RUE DE NEERPEDE 372-374 / NEERPEDESTRAAT 372-374 (FERMEE SUITE ACCIDENT),"50.829491, 4.286006",82.6864804786,4.286006,50.829491,5250365.55958,10114661.0009,POINT (4.286006 50.829491)
78,50.823699,4.351623,DUC PETIAUX - CHAUSSEE DE WATERLOO/ WATERLOOSESTEENWEG 376 - 370,"50.823699, 4.351623",77.4033087035,4.351623,50.823699,5251018.66854,10120637.996,POINT (4.351623 50.823699)
254,50.867393,4.320344,BASILIQUE / BASILIEK - AV JACQUES SERMON / JACUES SERMONLAAN,"50.867393, 4.320344",80.3006708206,4.320344,50.867393,5244847.45904,10117614.6654,POINT (4.320344 50.867393)
336,50.848578,4.459038,KRAAINEM - AV DE WEZEMBEEK 7A,"50.848578, 4.459038",79.0408366332,4.459038,50.848578,5247148.5008,10130265.4494,POINT (4.459038 50.848578)
102,50.83579,4.375782,MUSEUM - CHAUSSEE DE WAVRE (FACE 229 - 233)  /  WAVERSESTEENWEG (TEGENOVER 229 - 233),"50.83579, 4.375782",60.8355051621,4.375782,50.83579,5249219.9153,10122776.1504,POINT (4.375782 50.83579)
279,50.890181,4.336962,HOUBA BRUGMANN - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN,"50.890181, 4.336962",79.4089913448,4.336962,50.890181,5241541.13394,10119022.024,POINT (4.336962 50.890181)
117,50.816029,4.391006,CIMETIERE D'IXELLES / BEGRAAFPLAATS VAN ELSENE - AVENUE DE LA COURONNE/KROONLAAN 449,"50.816029, 4.391006",61.7030344539,4.391006,50.816029,5252007.10072,10124245.141,POINT (4.391006 50.816029)
188,50.857235,4.324354,OSSEGHEM -  AVENUE MAHATMA GANDHI/ MAHATMA GANDHILAAN 10,"50.857235, 4.324354",55.6351523857,4.324354,50.857235,5246290.82115,10118021.169,POINT (4.324354 50.857235)
362,50.872501,4.290218,GARE BERCHEM ST AGATHE/ST AGATA BERCHEM STATION - RUE BOIS DES ÎLES/EILANDENHOUTSTRAAT 1-15,"50.872501, 4.290218",70.9311160066,4.290218,50.872501,5244196.30605,10114864.5299,POINT (4.290218 50.872501)
200,50.843967,4.313537,VETERANS COLONIAUX / KOLONIALE VETERANEN - BD JULES GRAINDOR / JULES GRAINDORLAAN,"50.843967, 4.313537",79.8724751456,4.313537,50.843967,5248219.5564,10117097.0471,POINT (4.313537 50.843967)
199,50.843693,4.304986,FERMÉE - DÉPLACEMENT STATIONHENRI REY - BD FELIX PAULSEN / FELIX PAULSENLAAN 3-5-7-9,"50.843693, 4.304986",85.507360565,4.304986,50.843693,5248281.59985,10116322.97,POINT (4.304986 50.843693)
83,50.86284,4.33126,SIMONIS / BD LEOPOLD II (DEVANT 282)/ LEOPOLD II-LAAN (N° 282),"50.86284, 4.33126",73.9616451467,4.33126,50.86284,5245469.75669,10118622.9575,POINT (4.33126 50.86284)
344,50.830179,4.337958,BETHLEEM - PLACE BETHLEEM,"50.830179, 4.337958",54.8618918342,4.337958,50.830179,5250128.06476,10119370.376,POINT (4.337958 50.830179)
