source,target,distance,duration,pm
187,167,574,433,75.1291291517
187,115,669,503,54.8618918342
187,22,586,523,60.9683429662
187,254,752,561,66.6649921522
187,70,755,559,70.48351104449999
187,236,677,497,69.90468507770001
187,122,903,751,64.462857676
188,176,647,471,69.7429770467
188,117,872,656,81.5101077422
188,339,1723,1274,85.1274876709
188,196,2798,2063,73.0925962447
188,340,2645,2012,64.1130886905
188,156,1850,1335,86.85620474219999
188,106,2614,1931,79.0408366332
188,227,1932,1396,69.6251481991
188,178,2042,1492,62.6730520085
189,331,435,332,64.0516170237
189,128,546,429,63.5558973763
189,224,1244,931,70.6572126001
189,343,880,692,78.9897554476
189,68,1315,1001,64.209227948
189,312,1058,826,75.1399918203
189,307,1456,1120,73.9549985055
189,297,1686,1274,62.9668989318
189,103,1967,1503,82.6864804786
190,263,375,308,75.9255085876
190,268,716,565,67.269211196
190,109,833,659,61.7030344539
190,145,759,598,73.0198705199
190,96,764,557,83.7300167686
190,181,1054,806,54.627103762299996
190,314,752,591,88.7480163458
190,133,957,714,61.452211193000004
190,309,1331,1047,61.6608872979
191,207,272,224,67.8991732946
191,78,534,411,68.670324345
191,104,661,465,77.4033087035
191,8,628,495,58.8756459072
191,320,731,530,72.9389813864
191,48,918,727,85.5014569162
191,136,1071,811,63.59076869720001
191,59,1092,770,86.9113598225
191,200,1075,783,73.6288779035
192,199,320,278,72.6879923273
192,274,546,408,69.9193069262
192,269,732,555,78.4049566324
192,341,618,466,65.7374033112
192,56,806,627,45.552062742
192,313,778,633,67.72113476770001
192,147,985,758,67.5403061262
192,347,2227,1649,80.5187830018
192,293,1022,836,81.2891103011
193,36,241,185,67.475269297
193,173,467,333,57.1141433037
193,79,452,315,74.1478617835
193,206,394,288,73.06063161659999
193,141,633,460,74.4357256836
193,239,725,543,72.6806896267
193,158,881,660,93.2356838171
193,51,1043,783,68.5836527335
193,154,934,673,88.2140044831
194,100,228,160,54.5192404776
194,41,421,307,67.5753996258
194,139,497,351,78.33771847850001
194,66,462,350,62.377271960600005
194,257,730,531,67.0741025388
194,121,790,617,52.7749660718
194,27,800,578,71.1402668045
194,62,650,494,92.94150523489999
194,32,716,527,65.3059061944
195,5,485,385,76.9910188843
195,244,512,374,73.9788415564
195,67,467,418,71.3257727816
195,133,595,482,61.452211193000004
195,272,748,619,48.07760091390001
195,174,784,625,66.4031129784
195,248,850,659,61.4663473971
195,96,805,623,83.7300167686
195,213,1135,851,49.9237763459
196,311,628,495,71.93896763720001
196,106,664,508,79.0408366332
196,95,1057,776,64.9384285121
196,91,1032,728,67.9098923457
196,330,1377,1031,65.42609246
196,176,2152,1646,69.7429770467
196,339,1533,1155,85.1274876709
196,156,1852,1331,86.85620474219999
196,13,2013,1552,88.44241252379999
197,81,458,382,69.18588285770001
197,218,765,589,70.8090481686
197,247,921,721,84.185027625
197,225,970,731,72.3210036551
197,226,634,416,67.95204228850001
197,39,848,693,70.7502212608
197,145,1107,894,73.0198705199
197,134,1235,917,67.074923526
197,132,1804,1442,69.1875356347
198,75,217,156,73.7024580651
198,259,247,193,73.7665396324
198,85,424,302,74.5192949252
198,179,484,428,73.3533865479
198,7,460,330,83.1785942079
198,168,699,593,68.8737698393
198,255,614,527,62.698390911400004
198,346,633,481,69.3739588173
198,121,660,482,52.7749660718
199,192,320,243,80.5927926709
199,269,844,643,78.4049566324
199,313,457,355,67.72113476770001
199,341,736,524,65.7374033112
199,293,713,587,81.2891103011
199,274,726,548,69.9193069262
199,202,796,648,76.03960916279999
199,147,1097,846,67.5403061262
199,33,792,593,85.8128491799
200,123,598,447,63.4219650863
200,320,402,301,72.9389813864
200,40,582,444,75.8165504817
200,344,602,458,67.6222090507
200,186,852,654,87.8359656847
200,67,715,566,71.3257727816
200,104,761,582,77.4033087035
200,207,1008,788,67.8991732946
200,308,1021,793,83.8734698308
201,157,478,354,62.1486378799
201,261,674,516,72.49729137770001
201,155,747,619,58.641771159399994
201,99,550,414,70.08880067359999
201,38,650,486,80.2301821824
201,112,1103,805,79.8724751456
201,20,1250,941,69.1429609991
201,256,742,567,60.39695892859999
201,113,1073,826,85.507360565
202,296,300,240,81.73152426770001
202,293,366,276,81.2891103011
202,313,853,610,67.72113476770001
202,234,851,637,71.5451252288
202,336,854,662,65.8663886407
202,269,662,463,78.4049566324
202,33,981,693,85.8128491799
202,199,796,560,72.6879923273
202,142,704,545,67.6734947167
203,43,526,400,68.7891225744
203,185,695,536,57.863476116499996
203,142,452,346,67.6734947167
203,161,699,503,99.98156291020001
203,64,727,586,76.4300580715
203,129,809,572,53.556469353900006
203,42,1167,825,63.0527347267
203,278,1349,1060,68.9933087846
203,336,1123,870,65.8663886407
204,20,370,273,69.1429609991
204,151,395,315,67.51764459479999
204,155,803,668,58.641771159399994
204,261,778,598,72.49729137770001
204,82,958,744,73.57972019600001
204,253,890,683,78.0665201707
204,84,859,633,68.175690578
204,201,1409,1056,81.6700883909
204,299,931,761,66.710135421
205,235,653,532,80.4685940834
205,108,565,404,79.4089913448
205,9,1022,790,71.54948504069999
205,76,1411,1009,93.6568443297
205,83,1164,852,76.31658127680001
205,217,1149,844,60.296474374700004
205,303,1650,1257,66.6600238788
205,90,2004,1448,73.878624965
205,337,1850,1353,60.25158996800001
206,173,369,287,57.1141433037
